name,default_code,list_price,categ_id,type,sale_ok,purchase_ok,description_sale
Single Phase-AIO-H1-9.6-US (G2) (US SeriesTodo en Uno)-HV batteries-IP65-Monitoring capable,Single Phase-AIO-H1-9.6-US (G2) ,1425.0,Baterías y Almacenamiento,consu,True,True,Single Phase-AIO-H1-9.6-US (G2) (US SeriesTodo en Uno) - HV batteries - IP65 - Monitoring capable
Single Phase-AIO-H1-11.4-US (G2) (US SeriesTodo en Uno)-HV batteries-IP65-Monitoring capable,Single Phase-AIO-H1-11.4-US (G2),1485.0,Baterías y Almacenamiento,consu,True,True,Single Phase-AIO-H1-11.4-US (G2) (US SeriesTodo en Uno) -HV batteries - IP65 - Monitoring capable
EQ4000 (Bateria para el Todo en Uno),EQ4000 (Bateria para el Todo en ,825.0,Baterías y Almacenamiento,consu,True,True,
EV Charger Single-phase 7kW 6 meter cables Bluetooth+WIFI+RFID. OCPP Connector Type 2 Plug version,EV Charger Single-phase 7kW 6 me,190.0,Cargadores EV,consu,True,True,EV Charger Single-phase 7kW 6 meter cables Bluetooth+WIFI+RFID. OCPP Connector Type 2。Plug version
Inversor FoxESS On-Grid S3000-G2 3KW,S3000-G2,140.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter S3000-G2 3KW
Inversor FoxESS On-Grid F3000-G2 3KW,F3000-G2,175.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter F3000-G2 3KW
Inversor FoxESS On-Grid F5000-G2 5KW,F5000-G2,190.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter F5000-G2 5KW
Inversor FoxESS On-Grid F6000-G2 6KW,F6000-G2,200.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter F6000-G2 6KW
Inversor FoxESS On-Grid G7.5 7.5KW,G7.5,250.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter G7.5 7.5KW
Inversor FoxESS On-Grid G8 8KW,G8,270.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter G8 8KW
Inversor FoxESS On-Grid G9 9KW,G9,280.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter G9 9KW
Inversor FoxESS On-Grid G10 10kW,G10,290.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter G10 10kW
Inversor FoxESS On-Grid G10.5 10.5KW,G10.5,300.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter G10.5 10.5KW
Inversor FoxESS On-Grid VL15 15kW,VL15,900.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter VL15 15kW
Inversor FoxESS On-Grid VL20 20kW,VL20,1000.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter VL20 20kW
Inversor FoxESS On-Grid VL25 25kW,VL25,1100.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter VL25 25kW
Inversor FoxESS On-Grid VL30 30kW,VL30,1170.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter VL30 30kW
Inversor FoxESS On-Grid VL37.5 37.5kW,VL37.5,1230.0,Inversores,consu,True,True,FoxESS On-Grid Solar Inverter VL37.5 37.5kW
