id,code,name
dgi_prov_01,1,Bocas del Toro
dgi_prov_02,2,Coclé
dgi_prov_03,3,Colón
dgi_prov_04,4,Chiriquí
dgi_prov_05,5,Darién
dgi_prov_06,6,Herrera
dgi_prov_07,7,Los Santos
dgi_prov_08,8,Panamá
dgi_prov_09,9,Veraguas
dgi_prov_10,10,Comarca Kuna Yala
dgi_prov_11,11,Comarca Embera-Wounaan
dgi_prov_12,12,Comarca Ngäbe-Buglé
dgi_prov_13,13,Panamá Oeste
