id,measure,system,name,code,comment
facturacion_electronica.Mes,Tiempo,,Mes,Mes,
facturacion_electronica.Dia,Tiempo,,Dia,Dia,
facturacion_electronica.Hora,Tiempo,,Hora,Hora,
facturacion_electronica.Min,Tiempo,,Minuto,Min,
facturacion_electronica.Seg,Tiempo,,Segundo,Seg,
facturacion_electronica.Semana,Trabajo,,Semana,Semana,Periodo de tiempo estandar utilizado para los ciclos de dias de trabajo y de descanso
facturacion_electronica.Actividad,Trabajo,,Actividad,Actividad,Actividad: una unidad de trabajo o accion
facturacion_electronica.Hora_trabajo,Trabajo,,Hora de trabajo,Hora trabajo,Numero de horas de trabajo
facturacion_electronica.Hora_extra,Trabajo,,Hora extra,Hora extra,Numero de horas extras
facturacion_electronica.Mes_trabajo,Trabajo,,Mes de trabajo,Mes trabajo,Numero de meses de trabajo
facturacion_electronica.Personas,Trabajo,,Personas,Personas,Numero de personas
facturacion_electronica.Puesto,Trabajo,,Puesto,Puesto,Numero de puestos de trabajo
